name,country
Manhattan Regional Airport,United States
Quad City International Airport,United States
Rochester International Airport,United States
Sioux Gateway Col. Bud Day Field,United States
Cherry Capital Airport,United States
Texarkana Regional Webb Field,United States
University of Illinois Willard Airport,United States
Central Nebraska Regional Airport,United States
Laredo International Airport,United States
Midland International Airport,United States
Waterloo Regional Airport,United States
Watertown International Airport,United States
Charlottesville Albemarle Airport,United States
Evansville Regional Airport,United States
Wilmington International Airport,United States
Hermanos Serdan International Airport,Mexico
Queretaro Intercontinental Airport,Mexico
Roanoke Blacksburg Regional Airport,United States
Roswell International Air Center Airport,United States
Ponciano Arriaga International Airport,Mexico
Southeast Texas Regional Airport,United States
Lake Charles Regional Airport,United States
Northwest Arkansas Regional Airport,United States
Easterwood Field,United States
Waco Regional Airport,United States
Kalamazoo Battle Creek International Airport,United States
Central Illinois Regional Airport at Bloomington-Normal,United States
Columbia Regional Airport,United States
General Roberto Fierro Villalobos International Airport,Mexico
Central Wisconsin Airport,United States
Dubuque Regional Airport,United States
Fort Smith Regional Airport,United States
Garden City Regional Airport,United States
East Texas Regional Airport,United States
Jackson-Medgar Wiley Evers International Airport,United States
Lawton Fort Sill Regional Airport,United States
La Crosse Municipal Airport,United States
Santa Fe Municipal Airport,United States
Springfield Branson National Airport,United States
Toledo Express Airport,United States
Waterloo Airport,Canada
Baton Rouge Metropolitan Airport,United States
Destin-Ft Walton Beach Airport,United States
Nampula Airport,Mozambique
Pemba Airport,Mozambique
Copenhagen Kastrup Airport,Denmark
Frankfurt am Main Airport,Germany
Chingozi Airport,Mozambique
Venice Marco Polo Airport,Italy
Alexandria International Airport,United States
Rick Husband Amarillo International Airport,United States
Robert Gray  Army Air Field Airport,United States
San Angelo Regional Mathis Field,United States
Metz-Nancy-Lorraine Airport,France
Nice-Cote d'Azur Airport,France
Lille-Lesquin Airport,France
Malpensa International Airport,Italy
Strasbourg Airport,France
Monroe Regional Airport,United States
Mobile Regional Airport,United States
El Dorado International Airport,Colombia
Bologna Guglielmo Marconi Airport,Italy
Boryspil International Airport,Ukraine
Barcelona International Airport,Spain
Francisco de Sa Carneiro Airport,Portugal
Humberto Delgado Airport (Lisbon Portela Airport),Portugal
Adolfo Suarez Madrid Barajas Airport,Spain
Bilbao Airport,Spain
Antonio Roldan Betancourt Airport,Colombia
Biarritz-Anglet-Bayonne Airport,France
Clermont-Ferrand Auvergne Airport,France
Nantes Atlantique Airport,France
Grand Junction Regional Airport,United States
Austin Straubel International Airport,United States
Joplin Regional Airport,United States
General Francisco J. Mujica International Airport,Mexico
Sawyer International Airport,United States
German Olano Airport,Colombia
Obando Airport,Colombia
Kumasi Airport,Ghana
Murtala Muhammed International Airport,Nigeria
Tamale Airport,Ghana
Bristol Airport,United Kingdom
Esbjerg Airport,Denmark
Harstad/Narvik Airport,Norway
Kristiansund Airport (Kvernberget),Norway
Bachigualato Federal International Airport,Mexico
General Ignacio P. Garcia International Airport,Mexico
Jomo Kenyatta International Airport,Kenya
Malta International Airport,Malta
Ivano-Frankivsk International Airport,Ukraine
Hawarden Airport,United Kingdom
Shah Amanat International Airport,Bangladesh
Cox's Bazar Airport,Bangladesh
Hazrat Shahjalal International Airport,Bangladesh
Jessore Airport,Bangladesh
Osmany International Airport,Bangladesh
Kristianstad Airport,Sweden
Marechal Rondon Airport,Brazil
Santa Genoveva Airport,Brazil
Ji-Parana Airport,Brazil
Leite Lopes Airport,Brazil
Batumi International Airport,Georgia
Istanbul Airport,Turkey
Belbek Airport,Ukraine
Bram Fischer International Airport,South Africa
