departure_airport,arrival_airport
Leonard M Thompson International Airport,Orlando International Airport
Leonard M Thompson International Airport,Palm Beach International Airport
Northwest Alabama Regional Airport,Hartsfield Jackson Atlanta International Airport
Palm Beach International Airport,North Eleuthera Airport
Palm Beach International Airport,Leonard M Thompson International Airport
Palm Beach International Airport,Tampa International Airport
Pensacola Regional Airport,Orlando International Airport
Pensacola Regional Airport,Tampa International Airport
Southwest Florida International Airport,Key West International Airport
Southwest Florida International Airport,Orlando International Airport
Treasure Cay Airport,Fort Lauderdale Hollywood International Airport
Tallahassee Regional Airport,Orlando International Airport
Tallahassee Regional Airport,Tampa International Airport
Tampa International Airport,Key West International Airport
Tampa International Airport,Fort Lauderdale Hollywood International Airport
Tampa International Airport,Gainesville Regional Airport
Tampa International Airport,Jacksonville International Airport
Tampa International Airport,Palm Beach International Airport
Tampa International Airport,Pensacola Regional Airport
Tampa International Airport,Tallahassee Regional Airport
Tupelo Regional Airport,Mid Delta Regional Airport
Vancouver International Airport,Masset Airport
Masset Airport,Vancouver International Airport
Jorge Newbery Airpark,Piazzola International Airport
Jorge Newbery Airpark,General Urquiza Airport
Jorge Newbery Airpark,Islas Malvinas Airport
Jorge Newbery Airpark,Sauce Viejo Airport
Comandante Espora Airport,Piazzola International Airport
Comandante Espora Airport,Almirante Marco Andres Zar Airport
San Carlos De Bariloche Airport,General E. Mosconi Airport
San Carlos De Bariloche Airport,Brigadier Antonio Parodi Airport
Ingeniero Ambrosio Taravella Airport,El Plumerillo Airport
Ingeniero Ambrosio Taravella Airport,Islas Malvinas Airport
General E. Mosconi Airport,Presidente Peron Airport
General E. Mosconi Airport,Almirante Marco Andres Zar Airport
General E. Mosconi Airport,Piloto Civil N. Fernandez Airport
Brigadier Antonio Parodi Airport,San Carlos De Bariloche Airport
Brigadier Antonio Parodi Airport,General E. Mosconi Airport
Piazzola International Airport,Jorge Newbery Airpark
Piazzola International Airport,Comandante Espora Airport
El Plumerillo Airport,Ingeniero Ambrosio Taravella Airport
El Plumerillo Airport,Presidente Peron Airport
Presidente Peron Airport,General E. Mosconi Airport
Presidente Peron Airport,El Plumerillo Airport
Capitan Corbeta CA Curbelo International Airport,Islas Malvinas Airport
General Urquiza Airport,Jorge Newbery Airpark
Almirante Marco Andres Zar Airport,Comandante Espora Airport
Almirante Marco Andres Zar Airport,San Carlos De Bariloche Airport
Almirante Marco Andres Zar Airport,General E. Mosconi Airport
Almirante Marco Andres Zar Airport,Brigadier Antonio Parodi Airport
Hermes Quijada International Airport,Piloto Civil N. Fernandez Airport
Piloto Civil N. Fernandez Airport,General E. Mosconi Airport
Piloto Civil N. Fernandez Airport,Hermes Quijada International Airport
Piloto Civil N. Fernandez Airport,Malvinas Argentinas Airport
Islas Malvinas Airport,Jorge Newbery Airpark
Islas Malvinas Airport,Ingeniero Ambrosio Taravella Airport
Islas Malvinas Airport,Capitan Corbeta CA Curbelo International Airport
Sauce Viejo Airport,Jorge Newbery Airpark
Douglas-Charles Airport,Luis Munoz Marin International Airport
Terrance B. Lettsome International Airport,Luis Munoz Marin International Airport
Martinique Aime Cesaire International Airport,Luis Munoz Marin International Airport
Pointe-a-Pitre Le Raizet,Luis Munoz Marin International Airport
Luis Munoz Marin International Airport,Douglas-Charles Airport
Luis Munoz Marin International Airport,Terrance B. Lettsome International Airport
Luis Munoz Marin International Airport,Martinique Aime Cesaire International Airport
Luis Munoz Marin International Airport,Pointe-a-Pitre Le Raizet
King Salmon Airport,Ted Stevens Anchorage International Airport
Ted Stevens Anchorage International Airport,King Salmon Airport
Ted Stevens Anchorage International Airport,Aniak Airport
Ted Stevens Anchorage International Airport,Cold Bay Airport
Ted Stevens Anchorage International Airport,Dillingham Airport
Ted Stevens Anchorage International Airport,McGrath Airport
Ted Stevens Anchorage International Airport,Sand Point Airport
Ted Stevens Anchorage International Airport,St Paul Island Airport
Ted Stevens Anchorage International Airport,St George Airport
Aniak Airport,Ted Stevens Anchorage International Airport
Aniak Airport,McGrath Airport
General Edward Lawrence Logan International Airport,Long Island Mac Arthur Airport
General Edward Lawrence Logan International Airport,Plattsburgh International Airport
General Edward Lawrence Logan International Airport,Northern Maine Regional Airport at Presque Isle
Cold Bay Airport,Ted Stevens Anchorage International Airport
Dillingham Airport,Ted Stevens Anchorage International Airport
Long Island Mac Arthur Airport,General Edward Lawrence Logan International Airport
McGrath Airport,Ted Stevens Anchorage International Airport
McGrath Airport,Aniak Airport
Plattsburgh International Airport,General Edward Lawrence Logan International Airport
Northern Maine Regional Airport at Presque Isle,General Edward Lawrence Logan International Airport
Sand Point Airport,Ted Stevens Anchorage International Airport
St Paul Island Airport,Ted Stevens Anchorage International Airport
St George Airport,Ted Stevens Anchorage International Airport
Casa De Campo International Airport,Luis Munoz Marin International Airport
Vance W. Amory International Airport,Robert L. Bradshaw International Airport
Punta Cana International Airport,Luis Munoz Marin International Airport
Las Americas International Airport,Luis Munoz Marin International Airport
Luis Munoz Marin International Airport,Casa De Campo International Airport
Luis Munoz Marin International Airport,Punta Cana International Airport
Luis Munoz Marin International Airport,Las Americas International Airport
Luis Munoz Marin International Airport,Robert L. Bradshaw International Airport
Luis Munoz Marin International Airport,Cibao International Airport
Luis Munoz Marin International Airport,Princess Juliana International Airport
Robert L. Bradshaw International Airport,Vance W. Amory International Airport
Robert L. Bradshaw International Airport,Luis Munoz Marin International Airport
Cibao International Airport,Luis Munoz Marin International Airport
Princess Juliana International Airport,Luis Munoz Marin International Airport
Benbecula Airport,Glasgow International Airport
Benbecula Airport,Stornoway Airport
Donegal Airport,Dublin Airport
Donegal Airport,Glasgow International Airport
Dublin Airport,Donegal Airport
Edinburgh Airport,Kirkwall Airport
Edinburgh Airport,Sumburgh Airport
Glasgow International Airport,Benbecula Airport
Glasgow International Airport,Donegal Airport
Glasgow International Airport,Islay Airport
Glasgow International Airport,Kirkwall Airport
Glasgow International Airport,Leeds Bradford Airport
Glasgow International Airport,Sumburgh Airport
Glasgow International Airport,Stornoway Airport
Islay Airport,Glasgow International Airport
Inverness Airport,Kirkwall Airport
Inverness Airport,Sumburgh Airport
Kirkwall Airport,Edinburgh Airport
Kirkwall Airport,Glasgow International Airport
Kirkwall Airport,Inverness Airport
Kirkwall Airport,Sumburgh Airport
Leeds Bradford Airport,Glasgow International Airport
Sumburgh Airport,Edinburgh Airport
Sumburgh Airport,Glasgow International Airport
Sumburgh Airport,Inverness Airport
Sumburgh Airport,Kirkwall Airport
Stornoway Airport,Benbecula Airport
Stornoway Airport,Glasgow International Airport
Puerto Lempira Airport,Toncontin International Airport
Juan Manuel Galvez International Airport,Ramon Villeda Morales International Airport
Juan Manuel Galvez International Airport,Toncontin International Airport
Ramon Villeda Morales International Airport,Juan Manuel Galvez International Airport
Ramon Villeda Morales International Airport,Toncontin International Airport
Toncontin International Airport,Puerto Lempira Airport
Toncontin International Airport,Juan Manuel Galvez International Airport
Toncontin International Airport,Ramon Villeda Morales International Airport
Aalborg Airport,Billund Airport
Aalborg Airport,Stavanger Airport Sola
Billund Airport,Aalborg Airport
Molde Airport,Stord Airport
Stord Airport,Molde Airport
Stord Airport,Stavanger Airport Sola
Stavanger Airport Sola,Aalborg Airport
Stavanger Airport Sola,Stord Airport
Aitutaki Airport,Rarotonga International Airport
St Paul Island Airport,St George Airport
St George Airport,St Paul Island Airport
Arthur's Town Airport,Lynden Pindling International Airport
Arthur's Town Airport,New Bight Airport
Grand Bahama International Airport,Lynden Pindling International Airport
Exuma International Airport,Lynden Pindling International Airport
Leonard M Thompson International Airport,Lynden Pindling International Airport
Lynden Pindling International Airport,Arthur's Town Airport
Lynden Pindling International Airport,Grand Bahama International Airport
Lynden Pindling International Airport,Exuma International Airport
Lynden Pindling International Airport,Leonard M Thompson International Airport
Lynden Pindling International Airport,New Bight Airport
New Bight Airport,Arthur's Town Airport
New Bight Airport,Lynden Pindling International Airport
Altoona Blair County Airport,Washington Dulles International Airport
Altoona Blair County Airport,John Murtha Johnstown Cambria County Airport
Raleigh County Memorial Airport,Washington Dulles International Airport
Raleigh County Memorial Airport,Shenandoah Valley Regional Airport
North Central West Virginia Airport,Washington Dulles International Airport
North Central West Virginia Airport,Morgantown Municipal Walter L. Bill Hart Field
Washington Dulles International Airport,Altoona Blair County Airport
Washington Dulles International Airport,Raleigh County Memorial Airport
Washington Dulles International Airport,John Murtha Johnstown Cambria County Airport
Washington Dulles International Airport,Greenbrier Valley Airport
Washington Dulles International Airport,Morgantown Municipal Walter L. Bill Hart Field
Washington Dulles International Airport,Shenandoah Valley Regional Airport
John Murtha Johnstown Cambria County Airport,Altoona Blair County Airport
John Murtha Johnstown Cambria County Airport,Washington Dulles International Airport
Greenbrier Valley Airport,Washington Dulles International Airport
Morgantown Municipal Walter L. Bill Hart Field,North Central West Virginia Airport
Morgantown Municipal Walter L. Bill Hart Field,Washington Dulles International Airport
Shenandoah Valley Regional Airport,Washington Dulles International Airport
Helsinki Vantaa Airport,Pori Airport
Pori Airport,Helsinki Vantaa Airport
Albury Airport,Melbourne International Airport
Albury Airport,Sydney Kingsford Smith International Airport
Adelaide International Airport,Broken Hill Airport
Adelaide International Airport,Ceduna Airport
Adelaide International Airport,Coober Pedy Airport
Adelaide International Airport,Kingscote Airport
Adelaide International Airport,Mount Gambier Airport
Adelaide International Airport,Mildura Airport
Adelaide International Airport,Port Lincoln Airport
Adelaide International Airport,Whyalla Airport
Armidale Airport,Sydney Kingsford Smith International Airport
Broken Hill Airport,Adelaide International Airport
Broken Hill Airport,Dubbo City Regional Airport
Broken Hill Airport,Mildura Airport
Broken Hill Airport,Sydney Kingsford Smith International Airport
Bathurst Airport,Parkes Airport
Bathurst Airport,Sydney Kingsford Smith International Airport
Ballina Byron Gateway Airport,Newcastle Airport
Ballina Byron Gateway Airport,Sydney Kingsford Smith International Airport
Wynyard Airport,Melbourne International Airport
Ceduna Airport,Adelaide International Airport
Coober Pedy Airport,Adelaide International Airport
Dubbo City Regional Airport,Broken Hill Airport
Dubbo City Regional Airport,Sydney Kingsford Smith International Airport
Griffith Airport,Narrandera Airport
Griffith Airport,Sydney Kingsford Smith International Airport
Grafton Airport,Taree Airport
Mount Isa Airport,Julia Creek Airport
Mount Isa Airport,Townsville Airport
Julia Creek Airport,Mount Isa Airport
Julia Creek Airport,Richmond Airport
Kingscote Airport,Adelaide International Airport
King Island Airport,Melbourne International Airport
Longreach Airport,Winton Airport
Lismore Airport,Sydney Kingsford Smith International Airport
Melbourne International Airport,Albury Airport
Melbourne International Airport,Wynyard Airport
Melbourne International Airport,King Island Airport
Melbourne International Airport,Mount Gambier Airport
Melbourne International Airport,Merimbula Airport
Melbourne International Airport,Mildura Airport
Melbourne International Airport,Wagga Wagga City Airport
Mount Gambier Airport,Adelaide International Airport
Mount Gambier Airport,Melbourne International Airport
Merimbula Airport,Melbourne International Airport
Merimbula Airport,Moruya Airport
Merimbula Airport,Sydney Kingsford Smith International Airport
Mildura Airport,Adelaide International Airport
Mildura Airport,Broken Hill Airport
Mildura Airport,Melbourne International Airport
Mildura Airport,Sydney Kingsford Smith International Airport
Moruya Airport,Merimbula Airport
Moruya Airport,Sydney Kingsford Smith International Airport
Narrandera Airport,Griffith Airport
Narrandera Airport,Sydney Kingsford Smith International Airport
Newcastle Airport,Ballina Byron Gateway Airport
Newcastle Airport,Sydney Kingsford Smith International Airport
Orange Airport,Sydney Kingsford Smith International Airport
Parkes Airport,Bathurst Airport
Parkes Airport,Sydney Kingsford Smith International Airport
Port Lincoln Airport,Adelaide International Airport
Richmond Airport,Julia Creek Airport
Sydney Kingsford Smith International Airport,Albury Airport
Sydney Kingsford Smith International Airport,Armidale Airport
Sydney Kingsford Smith International Airport,Broken Hill Airport
Sydney Kingsford Smith International Airport,Bathurst Airport
Sydney Kingsford Smith International Airport,Ballina Byron Gateway Airport
Sydney Kingsford Smith International Airport,Dubbo City Regional Airport
Sydney Kingsford Smith International Airport,Griffith Airport
Sydney Kingsford Smith International Airport,Lismore Airport
Sydney Kingsford Smith International Airport,Merimbula Airport
Sydney Kingsford Smith International Airport,Mildura Airport
Sydney Kingsford Smith International Airport,Moruya Airport
Sydney Kingsford Smith International Airport,Narrandera Airport
Sydney Kingsford Smith International Airport,Newcastle Airport
Sydney Kingsford Smith International Airport,Orange Airport
Sydney Kingsford Smith International Airport,Parkes Airport
Sydney Kingsford Smith International Airport,Taree Airport
Sydney Kingsford Smith International Airport,Wagga Wagga City Airport
Taree Airport,Grafton Airport
Taree Airport,Sydney Kingsford Smith International Airport
Townsville Airport,Mount Isa Airport
Townsville Airport,Winton Airport
Wagga Wagga City Airport,Melbourne International Airport
Wagga Wagga City Airport,Sydney Kingsford Smith International Airport
Winton Airport,Longreach Airport
Winton Airport,Townsville Airport
Whyalla Airport,Adelaide International Airport
Vancouver Harbour Water Aerodrome,Victoria Harbour Seaplane Base
Victoria Harbour Seaplane Base,Vancouver Harbour Water Aerodrome
Aberdeen Dyce Airport,Kirkwall Airport
Aberdeen Dyce Airport,London City Airport
Stockholm-Arlanda Airport,Vaasa Airport
Stockholm-Arlanda Airport,Stavanger Airport Sola
Stavanger Airport Sola,Stockholm-Arlanda Airport
Bolzano Airport,Leonardo da Vinci Fiumicino Airport
Leonardo da Vinci Fiumicino Airport,Bolzano Airport
Peretola Airport,Geneva Cointrin International Airport
Geneva Cointrin International Airport,Peretola Airport
Isle of Man Airport,London City Airport
London City Airport,Isle of Man Airport
London City Airport,Rotterdam The Hague Airport
Rotterdam The Hague Airport,London City Airport
Stockholm-Arlanda Airport,Tampere-Pirkkala Airport
Tampere-Pirkkala Airport,Stockholm-Arlanda Airport
Stockholm-Bromma Airport,Kalmar Airport
Stockholm-Bromma Airport,Ronneby Airport
Stockholm-Bromma Airport,Sundsvall-Harnosand Airport
Stockholm-Bromma Airport,Trollhattan-Vanersborg Airport
Stockholm-Bromma Airport,Vaxjo Kronoberg Airport
Kalmar Airport,Stockholm-Bromma Airport
Ronneby Airport,Stockholm-Bromma Airport
Sundsvall-Harnosand Airport,Stockholm-Bromma Airport
Trollhattan-Vanersborg Airport,Stockholm-Bromma Airport
Vaxjo Kronoberg Airport,Stockholm-Bromma Airport
Amsterdam Airport Schiphol,Leipzig/Halle Airport
Belgrade Nikola Tesla Airport,Geneva Cointrin International Airport
Charles de Gaulle International Airport,Leipzig/Halle Airport
Peretola Airport,Zurich Airport
Geneva Cointrin International Airport,Belgrade Nikola Tesla Airport
Geneva Cointrin International Airport,Lugano Airport
Geneva Cointrin International Airport,Stuttgart Airport
Geneva Cointrin International Airport,Valencia Airport
Geneva Cointrin International Airport,Zurich Airport
Leipzig/Halle Airport,Amsterdam Airport Schiphol
Leipzig/Halle Airport,Charles de Gaulle International Airport
Leipzig/Halle Airport,Zurich Airport
Lugano Airport,Geneva Cointrin International Airport
Stuttgart Airport,Geneva Cointrin International Airport
Turin Airport,Zurich Airport
Valencia Airport,Geneva Cointrin International Airport
Zurich Airport,Peretola Airport
Zurich Airport,Geneva Cointrin International Airport
Zurich Airport,Leipzig/Halle Airport
Zurich Airport,Turin Airport
Lugano Airport,Zurich Airport
Zurich Airport,Lugano Airport
Aalborg Airport,Stockholm-Arlanda Airport
Stockholm-Arlanda Airport,Aalborg Airport
Stockholm-Arlanda Airport,Billund Airport
Stockholm-Arlanda Airport,Oulu Airport
Stockholm-Arlanda Airport,Vilnius International Airport
Billund Airport,Stockholm-Arlanda Airport
Oulu Airport,Stockholm-Arlanda Airport
Vilnius International Airport,Stockholm-Arlanda Airport
Aberdeen Dyce Airport,Norwich International Airport
Humberside Airport,Norwich International Airport
Norwich International Airport,Aberdeen Dyce Airport
Norwich International Airport,Humberside Airport
Stockholm-Bromma Airport,Ostersund Airport
Ostersund Airport,Stockholm-Bromma Airport
Vaasa Airport,Stockholm-Arlanda Airport
Domodedovo International Airport,Voronezh International Airport
Belgorod International Airport,Pulkovo Airport
Zvartnots International Airport,Voronezh International Airport
Pulkovo Airport,Belgorod International Airport
Pulkovo Airport,Vilnius International Airport
Pulkovo Airport,Voronezh International Airport
Munich Airport,Voronezh International Airport
Vilnius International Airport,Pulkovo Airport
Voronezh International Airport,Domodedovo International Airport
Voronezh International Airport,Zvartnots International Airport
Voronezh International Airport,Pulkovo Airport
Voronezh International Airport,Munich Airport
Gustaf III Airport,Luis Munoz Marin International Airport
McCarran International Airport,Los Angeles International Airport
Los Angeles International Airport,McCarran International Airport
Nantucket Memorial Airport,Westchester County Airport
Nantucket Memorial Airport,Teterboro Airport
Clayton J Lloyd International Airport,Luis Munoz Marin International Airport
